dcode,num_commu
1001,20
1002,14
1003,18
1004,47
1005,44
1006,42
1007,32
1008,48
1009,42
1010,50
1011,42
1012,29
1013,24
1014,23
1015,24
1016,17
1017,15
1018,26
1019,16
1020,41
1021,18
1022,29
1023,81
1024,95
1025,79
1026,77
1027,36
1028,38
1029,29
1030,19
1031,42
1032,29
1033,45
1034,43
1035,44
1036,37
1037,81
1038,97
1039,64
1040,65
1041,43
1042,18
1043,48
1044,74
1045,54
1046,29
1047,12
1048,53
1049,50
1050,27
